"id","name","first_name","middle_name","last_name","known_name","birth_place","birth_date","deceased","weight","height","preferred_foot","country","first_nationality"
124186,"Pål Vestly Heigre","Pål","","Vestly Heigre","","","1995-03-15","",88,188,"","Norway","Norway"
62022,"Andreas Lie","Andreas","","Lie","","","1987-08-31","",82,186,"","Norway",""
218658,"Sondre Sødergren","Sondre","","Sødergren","","","1997-06-30","",80,194,"","Norway",""
88460,"Alex Horwath","Alex","","Horwath","","Woodbine","1987-03-27","",78,190,"","USA","USA"
224198,"Markus Pettersen","Markus","","Pettersen","","","1999-02-12","","",190,"","Norway",""
95516,"Piotr Leciejewski","Piotr","","Leciejewski","","","1985-03-23","",88,194,"","Poland",""
124132,"Per Kristian Bråtveit","Per Kristian","Worre","Bråtveit","","","1996-02-15","",72,184,"","Norway",""
108130,"Helge Sandvik","Helge","","Sandvik","","","1990-02-05","","",183,"","Norway",""
209224,"Herman Børreson Fossdal","Herman","","Børreson Fossdal","","","1998-11-18","",74,184,"","Norway",""
113563,"Sean McDermott","Sean","","McDermott","","","1993-05-30","",81,183,"","Republic of Ireland","Republic of Ireland"
420674,"Ante Knezovic","Ante","","Knezovic","","","1993-02-26","",100,202,"","Croatia",""
81858,"Conny Månsson","Conny","","Månsson","","","1980-01-04","",88,188,"","Sweden",""
28113,"Daniel Fernandes","Daniel","","Fernandes","","","1983-09-25","",94,194,"","Portugal","Canada"
208534,"Emil Ødegaard","Emil","Gundelach","Ødegaard","","","1999-04-29","","","","","Norway",""
34727,"Arnold Otieno Origi","Arnold","","Otieno Origi","","","1983-11-15","",73,184,"","Kenya",""
111778,"Andreas Linde","Andreas","","Linde","","","1993-07-24","",93,196,"","Sweden",""
215367,"Neydson","Neydson","","da Silva","Neydson","","1996-10-28","",72,186,"","Brazil",""
156550,"Sondre Rossbach","Sondre","Lovseth","Rossbach","","","1996-02-07","",80,189,"","Norway",""
171682,"Viljar Myhra","Viljar","","Myhra","","","1996-07-21","",100,194,"","Norway",""
61984,"André Hansen","André","","Hansen","","","1989-12-17","",86,186,"","Norway",""
95513,"Arild Østbø","Arild","","Østbø","","","1991-04-19","",75,183,"","Norway",""
97669,"Ingvar Jónsson","Ingvar","","Jónsson","","","1989-10-18","",82,189,"","Iceland",""
96134,"Øystein Øvretveit","Øystein","","Øvretveit","","","1994-06-25","",85,193,"","Norway",""
199850,"Markus Stige","Markus","","Stige","","","1996-01-25","","","","","Norway","Norway"
198885,"Stefan Cupic","Stefan","","Cupic","","","1994-05-07","",76,187,"","Serbia","Serbia"
107421,"Anders Kristiansen","Anders","","Kristiansen","","","1990-03-17","",83,183,"","Norway",""
117885,"Matias Dyngeland","Matias","","Dyngeland","","","1995-10-07","",71,187,"","Norway",""
209238,"Tarjei Omenås","Tarjei","","Omenås","","","1992-02-02","",85,190,"","Norway",""
223995,"Kristian Rutlin","Kristian","","Rutlin","","","1999-06-14","",69,181,"","Norway",""
114321,"Sayouba Mandé","Sayouba","","Mande","Sayouba Mandé","Abidjan","1993-06-15","",82,193,"","Côte d&#39;Ivoire","Côte d&#39;Ivoire"
195390,"Gurpreet Singh Sandhu","Gurpreet","","Singh Sandhu","","","1992-02-03","",98,194,"","India",""
62034,"Espen Bugge Pettersen","Espen Bugge","","Pettersen","","","1980-05-10","",88,189,"","Norway",""
53182,"Radoslaw Janukiewicz","Radoslaw","","Janukiewicz","","","1984-05-05","",85,193,"","Poland",""
179758,"Sosha Makani","Sosha","","Makani","","Bandar Anzali","1986-11-18","",75,192,"","Iran","Iran"
12028,"Otto Fredrikson","Otto","","Fredrikson","","","1981-11-30","",79,189,"","Finland",""
95510,"Gudmund Kongshavn","Gudmund","Taksdal","Kongshavn","","","1991-01-23","",83,188,"","Norway",""
57466,"Filip Loncaric","Filip","","Loncaric","","Zagreb","1986-09-17","",86,191,"Right","Croatia","Croatia"
202266,"Jacob Karlstrøm","Jacob","","Karlstrøm","","","1996-01-09","",90,200,"","Norway",""
61776,"Marcus Sandberg","Marcus","","Sandberg","","","1990-11-07","",89,191,"","Sweden",""
223081,"Kristoffer Klaesson","Kristoffer","","Klaesson","","","2000-11-27","","","","","Norway",""
81897,"Aslak Falch","Aslak","","Falch","","","1992-05-25","",81,185,"","Norway",""
27769,"Iven Austbø","Iven","","Austbø","","","1985-02-22","",85,190,"","Norway",""
207858,"Amund Wichne","Amund","","Wichne","","","1997-05-12","","",180,"","Norway",""
168547,"Ethan Horvath","Ethan","","Horvath","","Highlands Ranch","1995-06-09","",84,191,"Right","USA","USA"
14574,"Alexander Lund Hansen","Alexander Lund","","Hansen","","","1982-10-06","",89,197,"","Norway",""
41386,"Pavel Londak","Pavel","","Londak","","","1980-05-14","",81,191,"","Estonia",""
217243,"Julian Faye Lund","Julian Faye","","Lund","","","1999-05-20","","","","","Norway",""
62016,"Sten Grytebust","Sten","","Grytebust","","","1989-10-25","",86,187,"","Norway",""
