"id","matchday","season_id"
839751,27,2016
788305,11,2015
788283,9,2015
839730,24,2016
839741,26,2016
839763,28,2016
839635,12,2016
839739,25,2016
839694,20,2016
788281,8,2015
788327,14,2015
788267,7,2015
839568,4,2016
839692,20,2016
839689,19,2016
788255,5,2015
788378,20,2015
839606,9,2016
788356,18,2015
839693,20,2016
788233,2,2015
788414,25,2015
839677,18,2016
788387,22,2015
839686,19,2016
839762,28,2016
788326,14,2015
839728,24,2016
839561,3,2016
839628,12,2016
788277,8,2015
839630,12,2016
839621,11,2016
900064,1,2017
788322,13,2015
839746,26,2016
788335,15,2015
788317,13,2015
839623,11,2016
839543,1,2016
788231,2,2015
839717,23,2016
788247,4,2015
839665,16,2016
839640,13,2016
839731,24,2016
839750,27,2016
839589,7,2016
839597,8,2016
839573,5,2016
839562,3,2016
839767,29,2016
788256,5,2015
788232,2,2015
788351,17,2015
839660,16,2016
788310,12,2015
788369,19,2015
788384,21,2015
839673,17,2016
788315,13,2015
839724,24,2016
839580,6,2016
788451,30,2015
839710,22,2016
839757,28,2016
788261,6,2015
900067,1,2017
788390,22,2015
788345,16,2015
839770,29,2016
839747,26,2016
839658,15,2016
839749,27,2016
788250,4,2015
788265,6,2015
839697,20,2016
788419,26,2015
788280,8,2015
839647,14,2016
839664,16,2016
788346,16,2015
839712,22,2016
839645,14,2016
839708,22,2016
839736,25,2016
788342,16,2015
788244,4,2015
839690,19,2016
788252,5,2015
788312,12,2015
788432,27,2015
839685,19,2016
788445,29,2015
788223,1,2015
788300,11,2015
788449,29,2015
788324,14,2015
788266,6,2015
839558,3,2016
839759,28,2016
839576,5,2016
788237,3,2015
788344,16,2015
788352,17,2015
788220,1,2015
839661,16,2016
788375,20,2015
788304,11,2015
788422,26,2015
839721,23,2016
839584,6,2016
788333,15,2015
839668,17,2016
788291,10,2015
839714,22,2016
788289,9,2015
839705,21,2016
788420,26,2015
788391,22,2015
788285,9,2015
839644,14,2016
839653,15,2016
839583,6,2016
788381,21,2015
788243,4,2015
839719,23,2016
839779,30,2016
788275,8,2015
788302,11,2015
839567,4,2016
788413,25,2015
839659,15,2016
839594,7,2016
788353,17,2015
839754,27,2016
839575,5,2016
788236,3,2015
839566,4,2016
788412,25,2015
788230,2,2015
788453,30,2015
788263,6,2015
839591,7,2016
839559,3,2016
839631,12,2016
839646,14,2016
788456,30,2015
788372,20,2015
839617,10,2016
788454,30,2015
788287,9,2015
788446,29,2015
839652,15,2016
788279,8,2015
788343,16,2015
839752,27,2016
788323,14,2015
839743,26,2016
839725,24,2016
788382,21,2015
788424,26,2015
788286,9,2015
839755,27,2016
788321,13,2015
788450,29,2015
788354,17,2015
839572,5,2016
839675,17,2016
839702,21,2016
788361,18,2015
839615,10,2016
839657,15,2016
839698,20,2016
839688,19,2016
788294,10,2015
