"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1",23.1,72.6,0,0,0,1,0,0,0,0,0,0.5,0.75
"2",25.2,63.2,0,0,0,1,0,0,0,0,0,0.302083333333333,0.515789473684211
"3",6.7,50.1,1,0,0,1,0,0,0,1,0,0.635416666666666,0.75
"4",15.2,52.6,1,0,0,1,0,0,0,0,0,0.552083333333333,0.15
"5",10.7,63.8,0,1,0,0,0,0,1,0,0,0.875,0.284210526315789
"6",9.09999999999999,28.2,0,0,0,1,0,0,0,1,0,0.53125,0.534210526315789
"7",17.7,86.1,0,0,0,1,0,1,0,0,0,0.708333333333333,0.0157894736842105
"8",17.3,28,0,0,0,1,0,0,0,0,1,0.354166666666667,0.781578947368421
"9",22.1,56,0,0,1,0,0,0,0,0,0,0.8125,0.0157894736842105
"10",11.5,50,0,0,0,1,1,0,0,0,0,0.75,0.2
"11",18.8,41.9,0,0,1,0,0,0,0,0,0,0.8125,0.05
"12",9.90000000000001,41.7,0,0,0,1,0,0,0,0,0,0.385416666666666,0.115789473684211
"13",27.5,54.4,0,0,0,1,0,0,0,0,0,0.1875,0.25
"14",28.1,70.3,0,0,0,1,0,0,0,0,0,0.739583333333333,0.134210526315789
"15",19.6,63.6,1,0,0,1,0,0,0,0,0,0.25,0.45
"16",6.3,66.3,0,0,0,1,0,0,0,0,0,0.395833333333333,0.0842105263157895
"17",26.7,68,0,0,0,1,0,1,0,0,0,0.604166666666667,0.0842105263157895
"18",18.8,34.7,0,0,1,0,0,0,0,0,0,0.125,0.115789473684211
"19",8.8,39.2,0,0,0,1,0,0,0,0,0,0.0104166666666661,0.0842105263157895
"20",10.4,32.4,1,0,0,1,0,0,0,0,0,0.427083333333333,0.91578947368421
"21",6.3,51.5,1,1,0,0,0,0,0,0,0,0.0624999999999994,0.434210526315789
"22",10.8,66.8,0,0,1,0,0,0,0,0,0,0.572916666666667,0.0736842105263158
"23",18.5,62.6,0,0,0,1,0,0,0,0,0,0.104166666666667,0.110526315789474
"24",13.7,30.5,0,0,0,1,0,0,0,0,0,0.177083333333333,0.181578947368421
"25",9.8,66.8,1,0,0,1,0,0,0,0,0,0.708333333333333,0.0342105263157895
"26",12.7,34,1,0,0,1,0,0,0,0,0,0.916666666666667,0.0657894736842105
"27",6.5,52.4,1,1,0,0,0,0,0,1,0,0.28125,0.0342105263157895
"28",4.09999999999999,30.3,0,0,0,1,0,0,0,0,0,0.635416666666666,0.534210526315789
"29",10.7,43.9,1,0,0,1,0,0,0,1,0,0.864583333333334,0.434210526315789
"30",5.40000000000001,51.5,1,0,0,1,0,0,0,0,0,0.645833333333333,0.1
"31",4,46,1,0,1,0,0,0,0,1,0,0.385416666666666,0.05
"32",8.7,73.2,0,0,1,0,0,0,0,0,0,0.697916666666667,0.681578947368421
"33",2.40000000000001,51.3,1,0,0,1,0,0,0,1,0,0.395833333333333,0.0842105263157895
"34",8.8,69.9,0,0,0,1,0,0,0,0,0,0.427083333333333,0.165789473684211
"35",4.3,53.4,0,1,0,0,0,0,0,0,0,0.739583333333333,0.284210526315789
"36",25.5,54.9,0,0,1,0,0,0,0,0,0,0.28125,0.0657894736842105
