"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1",23.1,72.6,0,0,0,1,0,0,0,0,0,0.5,0.75
"6",9.09999999999999,28.2,0,0,0,1,0,0,0,1,0,0.53125,0.534210526315789
"7",17.7,86.1,0,0,0,1,0,1,0,0,0,0.708333333333333,0.0157894736842105
"9",22.1,56,0,0,1,0,0,0,0,0,0,0.8125,0.0157894736842105
"19",8.8,39.2,0,0,0,1,0,0,0,0,0,0.0104166666666661,0.0842105263157895
"21",6.3,51.5,1,1,0,0,0,0,0,0,0,0.0624999999999994,0.434210526315789
"28",4.09999999999999,30.3,0,0,0,1,0,0,0,0,0,0.635416666666666,0.534210526315789
"29",10.7,43.9,1,0,0,1,0,0,0,1,0,0.864583333333334,0.434210526315789
"33",2.40000000000001,51.3,1,0,0,1,0,0,0,1,0,0.395833333333333,0.0842105263157895
"34",8.8,69.9,0,0,0,1,0,0,0,0,0,0.427083333333333,0.165789473684211
"42",23.1,57.7,0,0,1,0,0,0,0,0,0,0.25,0.184210526315789
"48",17,46.2,1,0,0,1,0,0,0,0,0,0.21875,0.05
"52",12.9,52.1,1,0,1,0,0,0,0,1,0,0.885416666666667,0.265789473684211
"54",23.1,54.8,0,0,0,1,0,0,0,0,0,0.416666666666667,0.61578947368421
"55",20.8,31.5,1,0,1,0,0,0,0,0,0,0.90625,0.831578947368421
"62",12.1,52.8,1,0,0,1,0,0,0,0,0,0.145833333333333,0.565789473684211
"63",8.40000000000001,27.2,1,0,0,1,0,0,0,0,0,0.114583333333333,0.365789473684211
"65",12.6,42.9,1,0,0,1,0,0,0,0,0,0.8125,0.184210526315789
"67",5.40000000000001,54.2,0,1,0,0,0,0,0,1,0,0.875,0.415789473684211
"72",17.3,70.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.284210526315789
"75",10.7,59.8,0,0,0,1,0,0,0,0,0,0.614583333333334,0.0157894736842105
"82",12.8,30.7,0,0,0,1,0,0,0,0,0,0.395833333333333,0.1
"83",27.1,70.7,0,0,1,0,0,0,0,0,0,0.739583333333333,0.584210526315789
"86",9.90000000000001,51.3,0,1,0,0,0,0,0,1,0,0.875,0.8
"87",13.4,51.3,0,1,0,0,0,0,0,0,0,0.645833333333333,0.315789473684211
"89",28.8,64.8,0,0,0,1,0,0,0,0,0,0.572916666666667,0.35
