"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1199",29.9,25.9,0,0,0,1,0,0,0,0,0,0.447916666666667,0.621052631578947
"3285",24.6,44.5,0,0,0,1,0,0,0,1,0,0.479166666666666,0.61578947368421
"1704",12,18,0,0,0,1,0,0,0,0,0,0.0520833333333334,0.165789473684211
"3678",14.2,58.8,0,0,0,1,0,0,0,0,1,0.53125,0.0842105263157895
"3917",5.5,69.1,0,0,0,1,0,0,0,0,0,0.604166666666667,0.115789473684211
"190",7.7,30.2,0,0,0,1,0,0,0,0,0,0.385416666666666,0.4
"2198",20.5,61.5,0,0,1,0,0,0,0,0,0,0.875,0.0657894736842105
"3714",10.3,42.9,1,0,0,1,0,0,0,0,0,0.427083333333333,0.05
"2294",12.1,33.3,1,0,1,0,0,0,0,0,0,0.78125,0.0342105263157895
"1900",21.5,31.8,0,0,1,0,0,0,0,0,0,0.552083333333333,0.0657894736842105
"3979",6.7,30.1,0,0,0,1,0,0,0,0,1,0.416666666666667,0.0157894736842105
"1885",7.3,52.1,0,1,0,0,0,0,0,0,0,0.583333333333333,0.681578947368421
"2816",12.2,39.7,0,1,0,0,0,0,0,1,0,0.322916666666666,0.4
"2380",8.7,51.3,0,0,0,1,0,0,0,0,0,0.458333333333333,0.0657894736842105
"428",6.09999999999999,69.7,0,0,0,1,0,0,0,0,0,0.84375,0.315789473684211
"3737",10,58.7,1,1,0,0,0,0,0,0,0,0.114583333333333,0.215789473684211
"1022",11.4,58.8,1,0,0,1,0,0,0,0,0,0.708333333333333,0.1
"175",23.2,46.2,0,0,1,0,0,0,0,0,0,0.8125,0.765789473684211
"1361",2.7,43.3,1,0,1,0,0,0,0,0,0,0.427083333333333,0.184210526315789
"3961",14.4,42.1,1,0,0,1,0,0,0,0,0,0.583333333333333,0.0157894736842105
"3690",10.1,52.8,0,1,0,0,0,0,0,0,0,0.875,0.0342105263157895
"2874",13.9,72.8,1,0,0,1,0,0,0,0,0,0.697916666666667,0.15
"2656",10.8,62.5,0,1,0,0,0,0,1,0,0,0.489583333333333,0.765789473684211
"4122",18.8,49.1,0,0,0,1,0,0,0,0,0,0.375,0.4
"2718",7.09999999999999,40.7,0,1,0,0,0,0,0,1,0,0.145833333333333,0.265789473684211
"2936",11.9,27,0,0,1,0,0,0,0,0,0,0.739583333333333,0.75
"2254",7.5,48.5,0,0,1,0,0,0,0,0,0,0.729166666666667,0.215789473684211
"2461",8.7,36.7,0,0,0,1,0,0,0,0,0,0.364583333333334,0.184210526315789
"1198",10.3,69,0,0,0,1,0,0,0,0,0,0.8125,0.181578947368421
"609",14.1,37.9,0,0,0,1,0,0,0,0,0,0.427083333333333,0.0157894736842105
"3985",7,42.7,1,0,0,1,0,0,0,0,0,0.260416666666667,0.15
"3733",13.8,60.2,0,1,0,0,0,0,0,0,0,0.479166666666666,0.657894736842105
"2857",21.4,34.7,1,0,1,0,0,0,0,0,0,0.166666666666666,0.234210526315789
"3290",24.1,44.9,0,0,0,1,0,0,0,0,0,0.666666666666667,0.7
"102",11.5,28.6,1,0,0,1,0,0,0,0,0,0.489583333333333,0.9
