"id","match_id","team_id","player_id","qualifiers","event_id","type_id","period_id","min","sec","outcome","keypass","assist","x","y","timestamp","last_modified","version"
340297268,839735,2997,215653,"{""146"": 98.5, ""147"": 54.9, ""22"": true, ""56"": ""Center"", ""77"": true, ""64"": true, ""72"": true, ""102"": 51.9, ""103"": 25.9, ""233"": 52}",54,15,1,4,59,True,"","","91.3","73.2","2016-09-24 14:35:55.661","2016-10-14 13:39:04","1476448744466"
2093927751,839735,2997,215654,"{""216"": 56, ""25"": true, ""214"": true, ""20"": true, ""154"": true, ""16"": true, ""55"": 57, ""56"": ""Center"", ""29"": true, ""217"": true, ""102"": 49.0, ""103"": 3.2, ""230"": 98.6, ""231"": 48.4, ""78"": true}",58,16,1,5,33,True,"","","97.6","51.3","2016-09-24 14:36:30.105","2016-10-14 13:40:16","1476448815001"
449536201,839735,2997,121176,"{""146"": 94.3, ""147"": 50.5, ""215"": true, ""22"": true, ""18"": true, ""56"": ""Center"", ""72"": true, ""102"": 47.9, ""103"": 2.5, ""80"": true, ""233"": 429}",297,15,1,42,6,True,"","","74.5","54.9","2016-09-24 15:13:03.215","2016-10-14 15:11:37","1476454297222"
1485002978,839735,2997,215653,"{""146"": 98.9, ""147"": 54.2, ""215"": true, ""154"": true, ""22"": true, ""55"": 317, ""56"": ""Center"", ""29"": true, ""64"": true, ""72"": true, ""102"": 51.6, ""103"": 1.9, ""233"": 478, ""78"": true}",318,15,2,45,35,True,"","","91","69.7","2016-09-24 15:31:42.116","2016-10-14 15:34:07","1476455646565"
1759694651,788315,2744,143877,"{""24"": true, ""146"": 99.3, ""15"": true, ""154"": true, ""17"": true, ""147"": 45.5, ""55"": 347, ""56"": ""Center"", ""29"": true, ""102"": 46.3, ""103"": 30.4, ""81"": true, ""233"": 368}",348,15,1,38,53,True,"","","89.9","48.5","2015-06-21 15:08:56.899","2015-06-27 10:01:15",""
1903827754,788315,2744,60154,"{""146"": 97.8, ""147"": 46.9, ""215"": true, ""22"": true, ""55"": 370, ""18"": true, ""56"": ""Center"", ""29"": true, ""72"": true, ""102"": 48.5, ""103"": 0.6, ""233"": 387, ""78"": true}",371,15,1,40,59,True,"","","77.3","25.8","2015-06-21 15:11:03.483","2015-06-27 10:07:53",""
576216005,788315,2744,61831,"{""146"": 94.2, ""147"": 60.8, ""214"": true, ""20"": true, ""154"": true, ""22"": true, ""55"": 465, ""56"": ""Center"", ""29"": true, ""64"": true, ""102"": 47.3, ""103"": 3.2, ""80"": true, ""233"": 452}",466,15,2,48,40,True,"","","91.9","63.6","2015-06-21 15:34:18.146","2015-06-27 10:22:00",""
159029507,788315,2744,143877,"{""146"": 99.0, ""147"": 51.6, ""15"": true, ""17"": true, ""22"": true, ""55"": 627, ""56"": ""Center"", ""29"": true, ""76"": true, ""102"": 54.0, ""103"": 17.7, ""233"": 586, ""154"": true}",629,15,2,66,40,True,"","","89.5","47.1","2015-06-21 15:52:18.508","2015-06-27 10:46:53",""
1858616693,788277,3376,64230,"{""146"": 99.7, ""147"": 52.5, ""215"": true, ""20"": true, ""154"": true, ""22"": true, ""55"": 272, ""56"": ""Left"", ""29"": true, ""133"": true, ""102"": 50.3, ""68"": true, ""103"": 10.1, ""233"": 261, ""78"": true}",273,15,1,34,58,True,"","","81","82.9","2015-05-13 17:35:30.384","2015-05-13 17:35:50",""
977973728,788277,3376,85012,"{""146"": 99.1, ""147"": 49.6, ""20"": true, ""154"": true, ""22"": true, ""55"": 356, ""18"": true, ""56"": ""Center"", ""29"": true, ""133"": true, ""102"": 50.4, ""103"": 13.9, ""233"": 325, ""78"": true}",357,15,1,43,52,True,"","","79.1","47.2","2015-05-13 17:44:24.436","2015-05-13 17:44:39",""
