"id","match_id","team_id","player_id","qualifiers","event_id","type_id","period_id","min","sec","outcome","keypass","assist","x","y","timestamp","last_modified","version"
340297268,839735,2997,215653,"{""146"": 98.5, ""147"": 54.9, ""22"": true, ""56"": ""Center"", ""77"": true, ""64"": true, ""72"": true, ""102"": 51.9, ""103"": 25.9, ""233"": 52}",54,15,1,4,59,True,"","","91.3","73.2","2016-09-24 14:35:55.661","2016-10-14 13:39:04","1476448744466"
2093927751,839735,2997,215654,"{""216"": 56, ""25"": true, ""214"": true, ""20"": true, ""154"": true, ""16"": true, ""55"": 57, ""56"": ""Center"", ""29"": true, ""217"": true, ""102"": 49.0, ""103"": 3.2, ""230"": 98.6, ""231"": 48.4, ""78"": true}",58,16,1,5,33,True,"","","97.6","51.3","2016-09-24 14:36:30.105","2016-10-14 13:40:16","1476448815001"
449536201,839735,2997,121176,"{""146"": 94.3, ""147"": 50.5, ""215"": true, ""22"": true, ""18"": true, ""56"": ""Center"", ""72"": true, ""102"": 47.9, ""103"": 2.5, ""80"": true, ""233"": 429}",297,15,1,42,6,True,"","","74.5","54.9","2016-09-24 15:13:03.215","2016-10-14 15:11:37","1476454297222"
1485002978,839735,2997,215653,"{""146"": 98.9, ""147"": 54.2, ""215"": true, ""154"": true, ""22"": true, ""55"": 317, ""56"": ""Center"", ""29"": true, ""64"": true, ""72"": true, ""102"": 51.6, ""103"": 1.9, ""233"": 478, ""78"": true}",318,15,2,45,35,True,"","","91","69.7","2016-09-24 15:31:42.116","2016-10-14 15:34:07","1476455646565"
1385596241,839698,278,89083,"{""24"": true, ""146"": 98.8, ""15"": true, ""154"": true, ""17"": true, ""147"": 49.5, ""55"": 173, ""56"": ""Center"", ""29"": true, ""102"": 51.6, ""103"": 7.0, ""233"": 206, ""78"": true}",174,15,1,22,47,True,"","","86.7","40.7","2016-08-14 19:24:33.836","2016-08-14 19:54:23","1471200863523"
353790011,839698,278,95547,"{""214"": true, ""20"": true, ""17"": true, ""22"": true, ""56"": ""Center"", ""281"": 94381, ""280"": ""PASS_LOST"", ""102"": 49.4, ""103"": 3.8, ""282"": 278, ""230"": 1.2, ""231"": 50.7, ""78"": true}",238,16,1,29,39,True,"","","92.3","42.3","2016-08-14 19:30:51.754","2016-08-14 19:31:41","1471199500425"
1796155815,839698,278,197498,"{""26"": true, ""215"": true, ""18"": true, ""56"": ""Center"", ""193"": 3, ""281"": 89083, ""72"": true, ""280"": ""FREE_KICK_WON"", ""102"": 45.6, ""103"": 16.5, ""80"": true, ""282"": 278, ""230"": 98.8, ""231"": 47.5, ""136"": true}",559,16,2,70,43,True,"","","77.8","37.8","2016-08-14 20:30:04.898","2016-08-14 20:59:25","1471204764851"
734960469,839698,278,173913,"{""146"": 97.7, ""147"": 46.4, ""20"": true, ""154"": true, ""22"": true, ""55"": 568, ""56"": ""Center"", ""29"": true, ""63"": true, ""102"": 51.0, ""103"": 8.9, ""233"": 659, ""78"": true}",569,15,2,72,57,True,"","","87.7","30.9","2016-08-14 20:32:19.651","2016-08-14 20:32:33","1471203152952"
1865894013,839698,278,94381,"{""146"": 98.5, ""147"": 50.5, ""20"": true, ""22"": true, ""55"": 688, ""18"": true, ""56"": ""Center"", ""29"": true, ""102"": 50.3, ""103"": 4.4, ""233"": 832, ""78"": true}",689,15,2,91,8,True,"","","79.5","50.5","2016-08-14 20:50:30.356","2016-08-14 20:50:40","1471204239615"
447577444,839610,310,63734,"{""146"": 98.2, ""147"": 46.4, ""15"": true, ""17"": true, ""22"": true, ""55"": 22, ""56"": ""Center"", ""29"": true, ""233"": 18, ""102"": 46.9, ""103"": 30.6, ""81"": true, ""154"": true}",24,15,1,1,55,True,"","","90.1","44.8","2016-05-07 14:32:08.11","2016-05-07 14:39:54","1462628393594"
