"id","match_id","team_id","player_id","qualifiers","event_id","type_id","period_id","min","sec","outcome","keypass","assist","x","y","timestamp","last_modified","version"
664063945,788287,278,114321,"{""88"": true, ""56"": ""Back""}",261,11,1,25,26,True,"","","7.6","54.2","2015-05-16 17:25:34.53","2015-05-16 17:25:33",""
1317806492,788422,278,114321,"{""88"": true, ""56"": ""Back""}",243,11,1,20,29,True,"","","9.1","49.1","2015-10-03 17:21:17.295","2015-10-03 17:21:17","1443889277299"
1973129997,839698,278,114321,"{""88"": true, ""56"": ""Back""}",189,11,1,24,58,True,"","","9.8","46.4","2016-08-14 19:26:10.892","2016-08-14 19:26:11","1471199170899"
95245156,839698,278,114321,"{""88"": true, ""56"": ""Back""}",280,11,1,38,42,True,"","","7.3","55","2016-08-14 19:39:54.76","2016-08-14 19:39:55","1471199994764"
815484520,839698,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 714}",612,11,2,78,36,True,"","","3.7","48.5","2016-08-14 20:37:57.933","2016-08-14 20:37:58","1471203478477"
506656773,839755,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 74}",69,11,1,8,15,True,"","","3.6","63.2","2016-10-16 19:09:21.51","2016-10-16 19:09:22","1476641362599"
452827881,839755,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 221}",160,11,1,22,12,True,"","","4.8","55.6","2016-10-16 19:23:17.98","2016-10-16 19:23:18","1476642198437"
1697192381,839755,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 234}",177,11,1,24,48,True,"","","6.2","49.1","2016-10-16 19:25:54.474","2016-10-16 19:25:55","1476642355053"
320479013,839755,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 370}",310,11,1,40,18,True,"","","8","46.1","2016-10-16 19:41:24.431","2016-10-16 19:41:25","1476643284924"
1365760110,839755,278,114321,"{""88"": true, ""56"": ""Back""}",324,11,1,42,42,True,"","","6.7","50.7","2016-10-16 19:43:47.973","2016-10-16 19:43:48","1476643427978"
834878700,839755,278,114321,"{""88"": true, ""56"": ""Back"", ""233"": 547}",430,11,2,57,4,True,"","","5.9","56.4","2016-10-16 20:15:38.12","2016-10-16 20:15:38","1476645338473"
1140754051,839590,278,114321,"{""88"": true, ""56"": ""Back""}",827,11,2,75,54,True,"","","2.6","47.2","2016-04-25 19:31:59.84","2016-04-25 19:31:59","1461609119848"
2108586507,839584,278,114321,"{""88"": true, ""56"": ""Back""}",315,11,1,33,23,False,"","","5.9","41.7","2016-04-20 18:33:26.7","2016-04-20 18:34:10","1461173650847"
