"id","match_id","team_id","player_id","qualifiers","event_id","type_id","period_id","min","sec","outcome","keypass","assist","x","y","timestamp","last_modified","version"
1481456423,788276,2997,95604,"{""146"": 99.0, ""147"": 47.8, ""215"": true, ""22"": true, ""56"": ""Center"", ""64"": true, ""72"": true, ""102"": 45.9, ""103"": 9.5, ""80"": true, ""233"": 124}",106,15,1,10,6,True,"","","83.1","64.7","2015-05-13 17:10:27.474","2015-05-13 17:17:16",""
1202772454,788276,2997,61979,"{""146"": 97.3, ""147"": 49.6, ""215"": true, ""22"": true, ""55"": 366, ""18"": true, ""56"": ""Center"", ""29"": true, ""72"": true, ""102"": 49.3, ""103"": 9.5, ""233"": 343, ""78"": true}",367,15,1,39,45,True,"","","77.4","31.2","2015-05-13 17:40:06.502","2015-05-13 17:40:13",""
1361709829,788276,2997,61959,"{""146"": 97.1, ""147"": 44.8, ""214"": true, ""20"": true, ""17"": true, ""22"": true, ""56"": ""Center"", ""102"": 47.8, ""103"": 15.2, ""80"": true, ""233"": 407}",413,15,2,45,18,True,"","","91","37.5","2015-05-13 18:00:54.466","2015-05-13 18:01:55",""
991915173,788276,2997,61959,"{""146"": 97.7, ""147"": 46.9, ""20"": true, ""22"": true, ""18"": true, ""56"": ""Center"", ""120"": true, ""102"": 50.1, ""103"": 24.7, ""79"": true, ""233"": 468}",450,15,2,51,30,True,"","","78","35.8","2015-05-13 18:07:06.303","2015-05-13 18:07:44",""
1576006611,788276,2997,156582,"{""146"": 97.7, ""147"": 53.2, ""214"": true, ""20"": true, ""17"": true, ""22"": true, ""55"": 658, ""56"": ""Center"", ""29"": true, ""102"": 51.6, ""103"": 5.7, ""154"": true, ""233"": 695, ""78"": true}",659,15,2,79,42,True,"","","92.4","62.6","2015-05-13 18:35:18.423","2015-05-13 18:35:47",""
985204303,788276,2997,66338,"{""214"": true, ""20"": true, ""154"": true, ""22"": true, ""16"": true, ""55"": 727, ""56"": ""Center"", ""29"": true, ""133"": true, ""102"": 48.3, ""103"": 21.5, ""230"": 99.4, ""231"": 44.4, ""79"": true}",728,16,2,89,59,True,"","","97.6","46.1","2015-05-13 18:45:35.581","2015-05-13 18:46:14",""
1139093203,788425,3334,178436,"{""146"": 98.2, ""147"": 49.8, ""215"": true, ""22"": true, ""55"": 24, ""18"": true, ""56"": ""Center"", ""29"": true, ""72"": true, ""102"": 50.4, ""103"": 16.5, ""233"": 19, ""78"": true}",25,15,1,1,36,True,"","","75","54.5","2015-10-04 17:01:31.452","2015-10-04 17:01:45","1443974504432"
758758732,788425,3334,206554,"{""216"": 221, ""217"": true, ""214"": true, ""20"": true, ""154"": true, ""22"": true, ""16"": true, ""55"": 222, ""56"": ""Center"", ""29"": true, ""102"": 48.5, ""103"": 1.3, ""230"": 1.0, ""231"": 46.4, ""78"": true}",223,16,1,21,52,True,"","","96.8","50.1","2015-10-04 17:21:47.143","2015-10-04 17:22:32","1443975750687"
1510090496,788425,3334,206554,"{""24"": true, ""146"": 99.0, ""147"": 54.2, ""56"": ""Center"", ""76"": true, ""108"": true, ""64"": true, ""72"": true, ""102"": 54.2, ""103"": 1.9, ""233"": 273}",279,15,1,31,27,True,"","","89.8","64.5","2015-10-04 17:31:22.92","2015-10-04 17:32:53","1443976373448"
1769950433,788425,3334,62040,"{""146"": 98.9, ""147"": 50.4, ""215"": true, ""22"": true, ""55"": 510, ""18"": true, ""56"": ""Center"", ""29"": true, ""72"": true, ""102"": 51.8, ""103"": 35.4, ""79"": true, ""233"": 542}",511,15,2,55,42,True,"","","71.5","44.7","2015-10-04 18:11:47.41","2015-10-04 18:11:55","1443978715621"
374066399,788456,197,95519,"{""146"": 98.8, ""147"": 46.8, ""215"": true, ""22"": true, ""55"": 100, ""56"": ""Center"", ""29"": true, ""63"": true, ""72"": true, ""102"": 46.6, ""103"": 1.3, ""80"": true, ""233"": 109}",101,15,1,10,30,True,"","","84.3","33.4","2015-11-08 17:10:14.201","2015-11-08 17:11:03","1447002662430"
