"id","match_id","team_id","player_id","qualifiers","event_id","type_id","period_id","min","sec","outcome","keypass","assist","x","y","timestamp","last_modified","version"
765229345,788287,203,161268,"{""146"": 97.3, ""147"": 51.4, ""215"": true, ""22"": true, ""55"": 129, ""56"": ""Center"", ""29"": true, ""64"": true, ""72"": true, ""102"": 50.7, ""103"": 2.8, ""233"": 150, ""78"": true}",130,15,1,14,45,True,"","","89.2","66.8","2015-05-16 17:14:53.541","2015-05-16 17:15:04",""
1525289205,788287,203,96787,"{""146"": 97.5, ""147"": 47.7, ""215"": true, ""20"": true, ""22"": true, ""55"": 220, ""18"": true, ""56"": ""Center"", ""29"": true, ""102"": 46.2, ""103"": 4.2, ""80"": true, ""233"": 246}",221,15,1,23,14,True,"","","81.5","62.6","2015-05-16 17:23:22.271","2015-05-16 17:23:31",""
823876943,788287,203,89246,"{""146"": 98.4, ""147"": 46.6, ""215"": true, ""20"": true, ""56"": ""Center"", ""108"": true, ""63"": true, ""102"": 46.9, ""103"": 6.9, ""80"": true, ""160"": true, ""233"": 295}",266,15,1,28,59,True,"","","86.3","30.5","2015-05-16 17:29:07.147","2015-05-16 17:29:16",""
206005761,788287,203,161268,"{""215"": true, ""20"": true, ""22"": true, ""56"": ""Center"", ""76"": true, ""64"": true, ""102"": 52.0, ""103"": 1.3, ""230"": 98.0, ""231"": 52.9}",308,16,1,33,7,True,"","","90.2","66.8","2015-05-16 17:33:15.42","2015-05-16 17:33:57",""
1122576268,788287,203,161268,"{""215"": true, ""20"": true, ""22"": true, ""55"": 333, ""56"": ""Center"", ""29"": true, ""76"": true, ""63"": true, ""102"": 54.0, ""103"": 2.5, ""230"": 97.3, ""231"": 49.3}",334,16,1,36,44,True,"","","87.3","34","2015-05-16 17:36:52.172","2015-05-16 17:37:04",""
409443827,788287,203,55758,"{""25"": true, ""154"": true, ""16"": true, ""55"": 728, ""56"": ""Center"", ""29"": true, ""72"": true, ""102"": 48.9, ""103"": 1.9, ""230"": 0.6, ""231"": 53.8, ""78"": true}",729,16,2,86,26,True,"","","96","46","2015-05-16 18:44:28.365","2015-05-16 18:45:16",""
2041948432,788422,3199,202283,"{""146"": 99.0, ""25"": true, ""214"": true, ""15"": true, ""17"": true, ""147"": 52.3, ""55"": 89, ""56"": ""Center"", ""29"": true, ""102"": 51.5, ""103"": 13.3, ""233"": 135, ""78"": true}",90,15,1,9,30,True,"","","93.6","52.8","2015-10-03 17:10:18.76","2015-10-03 17:15:48","1443888948202"
550358153,788422,3199,164630,"{""146"": 97.8, ""147"": 51.8, ""20"": true, ""17"": true, ""22"": true, ""55"": 349, ""56"": ""Center"", ""29"": true, ""114"": true, ""102"": 51.1, ""103"": 0.6, ""154"": true, ""233"": 550, ""78"": true}",350,15,1,44,48,True,"","","89.3","59.8","2015-10-03 17:45:36.265","2015-10-03 17:45:48","1443890748030"
1667177568,788422,3199,193842,"{""25"": true, ""20"": true, ""18"": true, ""56"": ""Center"", ""108"": true, ""102"": 46.2, ""103"": 5.7, ""80"": true, ""230"": 98.6, ""231"": 48.6}",397,16,2,46,9,True,"","","76.2","51.8","2015-10-03 18:05:23.556","2015-10-07 13:43:16","1444221795793"
1200890524,788422,3199,185811,"{""146"": 97.8, ""147"": 49.3, ""215"": true, ""20"": true, ""22"": true, ""55"": 579, ""18"": true, ""56"": ""Center"", ""29"": true, ""102"": 49.3, ""103"": 13.3, ""233"": 791, ""78"": true}",580,15,2,70,10,True,"","","81.2","47.2","2015-10-03 18:29:25.16","2015-10-03 18:29:57","1443893397181"
